place,cote,yearStart,yearEnd,url
Saint-Maixent-l'École,2 C 2450,1781,1791,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4c894a353a4c1844/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,3 Q 7/51,1781,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vta26c84f05ab82b17b/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,2 C 2418,1782,1793,https://archives-deux-sevres-vienne.fr/ark:/58825/vta5307946e3f6fbffa/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,2 C 2463,1784,1784,https://archives-deux-sevres-vienne.fr/ark:/58825/vta18cc7733e902f656/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Vasles,2 C 3560,1784,1784,https://archives-deux-sevres-vienne.fr/ark:/28387/vtacbdee2e369925e31/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,2 C 2451,1783,1793,https://archives-deux-sevres-vienne.fr/ark:/58825/vta041cf75b9f153ed3/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,2 C 1505,1789,1789,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1f08995626e52c87/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,3 Q 24/161,1789,1789,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1289ef5dda28dea5/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Moncoutant,3 Q 16/29,1789,1815,https://archives-deux-sevres-vienne.fr/ark:/58825/vtad19e99cc5b0299e9/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chef-Boutonne,3 Q 9/562,1790,1790,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8a5777bfa7c9d517/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,2 C 1504-1,1791,1791,https://archives-deux-sevres-vienne.fr/ark:/58825/vtacf0893eb73778dbd/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,2 C 1503-2,1791,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta7a7c6af66209c264/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Parthenay,3 Q 19/155,1791,1791,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8459979e06900151/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/560,1791,1791,https://archives-deux-sevres-vienne.fr/ark:/58825/vta5482e6e6ccffd37d/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,3 Q 15/168,1791,1791,https://archives-deux-sevres-vienne.fr/ark:/58825/vta55ecd5aeeaec39bb/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Secondigny,3 Q 22/52,1791,1808,https://archives-deux-sevres-vienne.fr/ark:/58825/vta0fb4fe48801e59a0/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Argenton-Château,3 Q 3/41,1791,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaed52b8bbcd71f4c7/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
